id,algo,size,time_us,heap_delta,heap_peak_used,stack_peak_used,stack_used,current_before,current_after,power_before,power_after,power_delta,iteration,current_before_corr,current_after_corr,power_before_corr,power_after_corr,power_delta_corr,time_s,power_mW,mem_total
12901,AES-128-GCM,16,1742,4444,2616,0,752,116.6,121.1,544,564,20,212,122.3,126.8,571.6542137,592.6880973,21.03388358,0.001742,21.03388358,3368
13001,AES-128-GCM,16,1742,4444,2836,0,752,115.3,117.6,538,548,10,213,121,123.3,565.5777585,576.3284101,10.75065161,0.001742,10.75065161,3588
13101,AES-128-GCM,16,1741,4444,2596,0,752,115.3,120.4,538,560,22,214,121,126.1,565.5777585,589.4161599,23.83840139,0.001741,23.83840139,3348
13201,AES-128-GCM,16,1740,4444,2616,0,752,116.4,120,540,560,20,215,122.1,125.7,570.7193745,587.5464813,16.82710686,0.00174,16.82710686,3368
13301,AES-128-GCM,16,1742,4444,2636,0,752,117.2,120.9,548,564,16,216,122.9,126.6,574.4587315,591.753258,17.2945265,0.001742,17.2945265,3388
13401,AES-128-GCM,16,1742,4444,2504,0,752,113.1,120.7,528,560,32,217,118.8,126.4,555.2945265,590.8184188,35.52389227,0.001742,35.52389227,3256
13601,AES-128-GCM,16,1742,4444,2620,0,752,112.7,119.6,524,558,34,221,118.4,125.3,553.424848,585.6768028,32.25195482,0.001742,32.25195482,3372
13701,AES-128-GCM,16,1741,4444,2624,0,752,113.1,119.6,528,558,30,222,118.8,125.3,555.2945265,585.6768028,30.38227628,0.001741,30.38227628,3376
13801,AES-128-GCM,16,1741,4444,2856,0,752,114,120,530,560,30,223,119.7,125.7,559.5013032,587.5464813,28.04517811,0.001741,28.04517811,3608
13901,AES-128-GCM,16,1742,4444,2856,0,752,117.4,120.7,548,564,16,224,123.1,126.4,575.3935708,590.8184188,15.42484796,0.001742,15.42484796,3608
14101,AES-128-GCM,16,1742,4444,2648,0,752,116.4,120.7,540,564,24,226,122.1,126.4,570.7193745,590.8184188,20.09904431,0.001742,20.09904431,3400
